source,target,tgt_lng
hypotonic dehydration,低渗性脱水,zh-CN
hypothermia,低体温,zh-CN
hypovolemic shock,低血容量性休克,zh-CN
hypotension,低血压,zh-CN
hypoxemia,低氧血症,zh-CN
caudal anesthesia,骶管麻醉,zh-CN
endemic goiter,地方性甲状腺肿,zh-CN
neuroendoscopic third ventriculostomy,第三脑室底造瘘术,zh-CN
epilepsy,癫痫,zh-CN
charge-coupled device,电荷耦合元件,zh-CN
electric burn injury,电烧伤,zh-CN
video-assisted thoracic surgery,电视胸腔镜手术,zh-CN
electronic gastroscopy,电子胃镜检查,zh-CN
arteriovenous malformation,动静脉畸形,zh-CN
arterial embolism,动脉栓塞,zh-CN
sinus tract,窦道,zh-CN
poison spider bite,毒蜘蛛咬伤,zh-CN
short bowel syndrome,短肠综合征,zh-CN
transient neurologic syndrome,短暂神经综合征,zh-CN
blunt diaphragmatic injury,钝性膈肌损伤,zh-CN
blunt cardiac injury,钝性心脏损伤,zh-CN
multidrug resistant,多重耐药,zh-CN
Takayasu arteritis,多发性大动脉炎,zh-CN
polycystic kidney,多囊肾,zh-CN
multiple organ dysfunction syndrome,多器官功能障碍综合征,zh-CN
polymorphonuclear neutrophil,多形核中性粒细胞,zh-CN
multidisciplinary team,多学科诊疗团队,zh-CN
hypercatecholaminemia,儿茶酚胺增多症,zh-CN
pediatric-type diffuse glioma,儿童型弥漫性胶质瘤,zh-CN
mitral regurgitation,二尖瓣关闭不全,zh-CN
mitral insufficiency,二尖瓣关闭不全,zh-CN
developmental dislocation of the hip,发育性髋关节脱位,zh-CN
rebound tenderness,反跳痛,zh-CN
radionuclide imaging,放射性核素显像,zh-CN
radiation burn injury,放射性烧伤,zh-CN
nonocclusive mesenteric ischemia,非闭塞性肠系膜血管缺血,zh-CN
non-muscle-invasive bladder cancer,非肌层浸润性膀胱癌,zh-CN
non-vascular interventional technique,非经血管介入技术,zh-CN
injury of common peroneal nerve,腓总神经损伤,zh-CN
lung cancer,肺癌,zh-CN
pulmonary bulla,肺大疱,zh-CN
pulmonary tuberculosis,肺结核,zh-CN
Pancoast tumor,肺上沟瘤,zh-CN
pulmonary embolism,肺栓塞,zh-CN
lung transplantation,肺移植,zh-CN
aldosterone-producing adrenocortical carcinoma,分泌醛固酮的肾上腺皮质癌,zh-CN
rheumatic mitral stenosis,风湿性二尖瓣狭窄,zh-CN
bee sting,蜂蜇伤,zh-CN
the basic principle of intestinal suture,缝合小肠的基本原则,zh-CN
erosive burn of esophagus,腐蚀性食管灼伤,zh-CN
vacuum sealing drainage,负压封闭引流,zh-CN
epididymal tuberculosis,附睾结核,zh-CN
epididymitis,附睾炎,zh-CN
combined injury,复合伤,zh-CN
hybrid operation,复合手术,zh-CN
abdominal injury,腹部损伤,zh-CN
tenderness,腹部压痛,zh-CN
indirect inguinal hernia,腹股沟斜疝,zh-CN
direct inguinal hernia,腹股沟直疝,zh-CN
rigidity,腹肌紧张,zh-CN
signs of peritoneal irritation,腹膜刺激征,zh-CN
retroperitoneal hematoma,腹膜后血肿,zh-CN
abdominal compartment syndrome,腹腔间室综合征,zh-CN
laparoscopic ureterolithotomy,腹腔镜输尿管切开取石,zh-CN
intraperitoneal onlay mesh technique,腹腔内的补片,zh-CN
abdominothoracic injuries,腹胸联合伤,zh-CN
ameliorated piggyback liver transplantation,改良背驮式肝移植,zh-CN
calcineurin inhibitors,钙调磷酸酶抑制剂,zh-CN
liver cancer,肝癌,zh-CN
hydatid disease of the liver,肝包虫病,zh-CN
cavernous hemangioma of liver,肝海绵状血管瘤,zh-CN
echinococcosis of the liver,肝棘球蚴病,zh-CN
wedged hepatic venous pressure,肝静脉楔压,zh-CN
hepatic venous pressure gradient,肝静脉压力梯度,zh-CN
free hepatic venous pressure,肝静脉自由压,zh-CN
cyst of liver,肝囊肿,zh-CN
liver abscess,肝脓肿,zh-CN
liver injury,肝损伤,zh-CN
hepatocellular carcinoma,肝细胞癌,zh-CN
hepatoma,肝细胞癌,zh-CN
hepatic encephalopathy,肝性脑病,zh-CN
liver transplantation,肝移植,zh-CN
septic shock,感染性休克,zh-CN
anal fissure,肛裂,zh-CN
perianal abscess,肛周脓肿,zh-CN
hypercalcemia,高钙血症,zh-CN
high-grade prostatic intraepithelial neoplasia,高级别前列腺上皮内瘤,zh-CN
hyperkalemia,高钾血症,zh-CN
hyperphosphatemia,高磷血症,zh-CN
hypermagnesemia,高镁血症,zh-CN
high-intensity focused ultrasound,高强度聚焦超声,zh-CN
hypertonic dehydration,高渗性脱水,zh-CN
hypertension,高血压,zh-CN
testicular and funicular hydrocele,睾丸、精索鞘膜积液,zh-CN
orchidopexy,睾丸固定术,zh-CN
testicular torsion,睾丸扭转,zh-CN
testicular hydrocele,睾丸鞘膜积液,zh-CN
testicular tumor,睾丸肿瘤,zh-CN
Glasgow coma scale,格拉斯哥昏迷评分,zh-CN
subphrenic abscess,膈下脓肿,zh-CN
radical nephrectomy,根治性肾切除术,zh-CN
fracture of the calcaneum,跟骨骨折,zh-CN
Achilles tendon rupture,跟腱断裂,zh-CN
obstructive hydrocephalus,梗阻性脑积水,zh-CN
functional neurosurgery,功能神经外科,zh-CN
artificial insemination with donor’s semen,供者精液人工授精,zh-CN
lateral humeral epicondylitis,肱骨外上髁炎,zh-CN
fracture of the shaft of the femur,股骨干骨折,zh-CN
fracture of the femoral neck,股骨颈骨折,zh-CN
osteonecrosis of the femoral head,股骨头坏死,zh-CN
femoral hernia,股疝,zh-CN
injury of femoral nerve,股神经损伤,zh-CN
osteoarthritis,骨关节炎,zh-CN
subperiosteal hematoma,骨膜下血肿,zh-CN
bone and joint tuberculosis,骨与关节结核,zh-CN
fracture,骨折,zh-CN
coronary atherosclerotic heart disease,冠状动脉粥样硬化性心脏病,zh-CN
International Index of Erectile Function,国际勃起功能评分表,zh-CN
cavernous malformation,海绵状血管畸形,zh-CN
cavernous hemangioma,海绵状血管瘤,zh-CN
Hirschsprung disease,赫什朋病,zh-CN
melanoma,黑色素瘤,zh-CN
pigmented nevus,黑痣,zh-CN
laryngeal mask airway,喉罩气道,zh-CN
voided bladder three,后段尿,zh-CN
ossification of the posterior longitudinal ligament,后纵韧带骨化症,zh-CN
airway obstruction,呼吸道梗阻,zh-CN
respiratory alkalosis,呼吸性碱中毒,zh-CN
respiratory acidosis,呼吸性酸中毒,zh-CN
bursitis,滑囊炎,zh-CN
synovial cyst,滑液囊肿,zh-CN
pyogenic osteomyelitis,化脓性骨髓炎,zh-CN
pyogenic arthritis,化脓性关节炎,zh-CN
pyogenic spondylitis,化脓性脊柱炎,zh-CN
pylephlebitis,化脓性门静脉炎,zh-CN
chemical burn injury,化学烧伤,zh-CN
chemoprevention,化学预防,zh-CN
chemotherapy,化学治疗,zh-CN
fracture of the ankle,踝部骨折,zh-CN
ileal pouch-anal anastomosis,回肠储袋肛管吻合术,zh-CN
salvaged autotransfusion,回收式自体输血,zh-CN
mixed thickness burn,混合度烧伤,zh-CN
living-related liver transplantation,活体亲属供肝移植,zh-CN
craniocerebral missile injury,火器性颅脑损伤,zh-CN
Horner syndrome,霍纳综合征,zh-CN
fat free mass index,机体瘦组织群指数,zh-CN
muscle-invasive bladder cancer,肌层浸润性膀胱癌,zh-CN
muscle relaxants,肌肉松弛药,zh-CN
teratoma,畸胎瘤,zh-CN
acute abdomen,急腹症,zh-CN
acute hemorrhagic enteritis,急性出血性肠炎,zh-CN
acute cellulitis,急性蜂窝织炎,zh-CN
acute epididymitis,急性附睾炎,zh-CN
acute infection phase,急性感染期,zh-CN
acute respiratory distress syndrome,急性呼吸窘迫综合征,zh-CN
acute calculous cholecystitis,急性结石性胆囊炎,zh-CN
acute appendicitis,急性阑尾炎,zh-CN
acute lymphatitis,急性淋巴管炎,zh-CN
acute lymphadenitis,急性淋巴结炎,zh-CN
acute rejection,急性排斥反应,zh-CN
acute pyelonephritis,急性肾盂肾炎,zh-CN
acute pain service,急性疼痛服务,zh-CN
acute bacterial cystitis,急性细菌性膀胱炎,zh-CN
acute bacterial prostatitis,急性细菌性前列腺炎,zh-CN
acute pancreatitis,急性胰腺炎,zh-CN
emergency room thoracotomy,急诊室开胸手术,zh-CN
emergency operation,急诊手术,zh-CN
trauma of interspinous ligament,棘间韧带损伤,zh-CN
trauma of supraspinous ligament,棘上韧带损伤,zh-CN
sepsis bundle,集束化治疗,zh-CN
crush injury,挤压伤,zh-CN
spinal meningioma,脊膜瘤,zh-CN
spinal cord stimulation,脊髓电刺激术,zh-CN
tethered cord syndrome,脊髓拴系综合征,zh-CN
spinal fractures,脊柱骨折,zh-CN
spina bifida,脊柱裂,zh-CN
secondary peritonitis,继发性腹膜炎,zh-CN
secondary tumor of the liver,继发性肝肿瘤,zh-CN
secondary hyperparathyroidism,继发性甲状旁腺功能亢进,zh-CN
secondary vesical calculi,继发性膀胱结石,zh-CN
familial intestinal polyposis,家族性肠息肉病,zh-CN
familial hyperaldosteronism,家族性醛固酮增多症,zh-CN
familial adenomatous polyposis,家族性腺瘤性息肉病,zh-CN
paronychia,甲沟炎,zh-CN
parathyroid hormone,甲状旁腺激素,zh-CN
parathyroid adenoma,甲状旁腺腺瘤,zh-CN
parathyroid hyperplasia,甲状旁腺增生,zh-CN
thyroid carcinoma,甲状腺癌,zh-CN
hyperthyroidism,甲状腺功能亢进,zh-CN
thyroid adenoma,甲状腺腺瘤,zh-CN
Leydig cell,间质细胞,zh-CN
ganglion cyst,腱鞘囊肿,zh-CN
communicating hydrocephalus,交通性脑积水,zh-CN
communicating hydrocele,交通性鞘膜积液,zh-CN
glioblastoma,胶质母细胞瘤,zh-CN
strangulated hernia,绞窄性疝,zh-CN
furuncle,疖,zh-CN
colon injury,结肠损伤,zh-CN
nodular goiter,结节性甲状腺肿,zh-CN
tuberous sclerosis,结节性硬化症,zh-CN
crystalluria,结晶尿,zh-CN
interventional radiology technique,介入放射学技术,zh-CN
advanced gastric cancer,进展期胃癌,zh-CN
transcatheter arterial chemoembolization or embolization,经导管动脉内化疗栓塞术或栓塞术,zh-CN
TACE or TAE,经导管动脉内化疗栓塞术或栓塞术,zh-CN
transcatheter vascular infusion,经导管血管灌注术,zh-CN
transabdominal preperitoneal,经腹腔的腹膜前修补,zh-CN
laparoscopic inguinal herniorrhaphy,经腹腔镜疝修补术,zh-CN
transjugular intrahepatic portosystemic shunt,经颈静脉肝内门体静脉分流术,zh-CN
transurethral resection of bladdertumor,经尿道膀胱肿瘤切除术,zh-CN
transurethral resection of the prostate,经尿道前列腺切除术,zh-CN
transurethral incision of the prostate,经尿道前列腺切开术,zh-CN
percutaneous radiofrequency thermocoagulation,经皮穿刺射频热凝毁损术,zh-CN
percutaneous transhepatic cholangial drainage,经皮肝穿刺胆道置管引流术,zh-CN
percutaneous transhepatic cholangiography,经皮肝穿刺胆管造影,zh-CN
percutaneous transhepatic gallbladder drainage,经皮经肝胆囊穿刺引流术,zh-CN
percutaneous transluminal angioplasty,经皮腔内血管成形术,zh-CN
percutaneous nephrolithotomy,经皮肾镜取石术,zh-CN
vascular interventional technique,经血管介入技术,zh-CN
tension free vaginal tape-obturator,经阴道（闭孔）无张力尿道中段悬吊术,zh-CN
tension free vaginal tape,经阴道无张力尿道悬吊术,zh-CN
natural orifice transluminal endoscopicsurgery,经自然腔道内镜手术,zh-CN
varicocele,精索静脉曲张,zh-CN
funicular hydrocele,精索鞘膜积液,zh-CN
seminoma,精原细胞瘤,zh-CN
carotid endarterectomy,颈动脉内膜切除术,zh-CN
carotid artery stenting,颈动脉支架成形术,zh-CN
tuberculosis of cervical lymph nodes,颈淋巴结结核,zh-CN
cervical spondylosis,颈椎病,zh-CN
cervical disc herniation,颈椎间盘突出症,zh-CN
osteochondrosis of the tibial tubercle,胫骨结节骨软骨病,zh-CN
injury of tibial nerve,胫神经损伤,zh-CN
catheter-related infection,静脉导管相关性感染,zh-CN
venous malformation,静脉畸形,zh-CN
intravenous anesthetics,静脉麻醉药,zh-CN
microscopic hematuria,镜下血尿,zh-CN
local anesthesia,局部麻醉,zh-CN
localized pleural mesothelioma,局限型胸膜间皮瘤,zh-CN
carbachol,卡巴胆碱,zh-CN
bacillus Calmette-Guérin,卡介苗,zh-CN
opening snap,开瓣音,zh-CN
open injury,开放伤,zh-CN
open craniocerebral injury,开放性颅脑损伤,zh-CN
open pneumothorax,开放性气胸,zh-CN
open prostatectomy,开放性前列腺摘除术,zh-CN
rehabilitation phase,康复期,zh-CN
antisepsis,抗菌术,zh-CN
anti-thrombin Ⅲ,抗凝血酶Ⅲ,zh-CN
antibody-drug conjugate,抗体-药物偶联物,zh-CN
antibody-mediated rejection,抗体介导的排斥反应,zh-CN
anti-hemophilia factor,抗血友病因子,zh-CN
Crohn disease,克罗恩病,zh-CN
oral nutritional supplement,口服营养补充,zh-CN
fast waves,快波,zh-CN
coxotuberculosis,髋关节结核,zh-CN
dislocation of the hip joint,髋关节脱位,zh-CN
ulcerative colitis,溃疡性结肠炎,zh-CN
appendix,阑尾,zh-CN
appendectomy,阑尾切除术,zh-CN
periappendiceal abscess,阑尾周围脓肿,zh-CN
senile pigmental wart,老年性色素疣,zh-CN
rib fracture,肋骨骨折,zh-CN
rheumatoid arthritis,类风湿关节炎,zh-CN
cryoablation,冷冻消融,zh-CN
cooling therapy,冷疗,zh-CN
piriformis syndrome,梨状肌综合征,zh-CN
stereotactic radiosurgery,立体定向放射外科,zh-CN
granulocyte colony stimulating factor,粒细胞集落刺激因子,zh-CN
flail chest,连枷胸,zh-CN
benign prostatic hyperplasia,良性前列腺增生,zh-CN
Lynch syndrome,林奇综合征,zh-CN
lymph node,淋巴结,zh-CN
lymphedema,淋巴水肿,zh-CN
gonorrheal urethritis,淋菌性尿道炎,zh-CN
squamous cell carcinoma,鳞状细胞癌,zh-CN
flow cytometry,流式细胞术,zh-CN
dermatofibrosarcoma protuberans,隆突性皮肤纤维肉瘤,zh-CN
pectus excavatum,漏斗胸,zh-CN
skull base fracture,颅底骨折,zh-CN
basilar invagination,颅底陷入症,zh-CN
craniosynostosis,颅缝早闭,zh-CN
skull fracture,颅骨骨折,zh-CN
cranium bifidum,颅裂,zh-CN
craniocerebral injury,颅脑损伤,zh-CN
intracranial aneurysm,颅内动脉瘤,zh-CN
increased intracranial pressure,颅内压增高,zh-CN
intracranial metastasis,颅内转移瘤,zh-CN
craniopharyngioma,颅咽管瘤,zh-CN
contracted bladder,挛缩膀胱,zh-CN
intracytoplasmic sperm injection,卵胞质内精子注射,zh-CN
anesthesia,麻醉,zh-CN
postanesthesia care unit,麻醉恢复室,zh-CN
Marfan syndrome,马方综合征,zh-CN
horseshoe kidney,马蹄形肾,zh-CN
mycophenolate mofetil,吗替麦考酚酯,zh-CN
pulse indicator continuouscardiac output,脉搏指示连续心排血量,zh-CN
hemangioma racemosum,蔓状血管瘤,zh-CN
slow waves,慢波,zh-CN
chronic epididymitis,慢性附睾炎,zh-CN
chronic appendicitis,慢性阑尾炎,zh-CN
chronic lymphocytic thyroiditis,慢性淋巴细胞性甲状腺炎,zh-CN
chronic rejection,慢性排斥反应,zh-CN
chronic prostatitis/ chronic pelvic pain syndrome,慢性前列腺炎/慢性骨盆疼痛综合征,zh-CN
CP/CPPS,慢性前列腺炎/慢性骨盆疼痛综合征,zh-CN
chronic constrictive pericarditis,慢性缩窄性心包炎,zh-CN
chronic bacterial cystitis,慢性细菌性膀胱炎,zh-CN
chronic bacterial prostatitis,慢性细菌性前列腺炎,zh-CN
blind loop syndrome,盲袢综合征,zh-CN
telangiectasia,毛细血管扩张,zh-CN
capillary hemangioma,毛细血管瘤,zh-CN
portal hypertensive gastropathy,门静脉高压性胃病,zh-CN
portal hypertension,门静脉高压症,zh-CN
diffuse malignant pleural mesothelioma,弥漫型恶性胸膜间皮瘤,zh-CN
diffuse gliomas,弥漫性胶质瘤,zh-CN
diffuse axonal injury,弥漫性轴索损伤,zh-CN
disseminated intravascular coagulation,弥散性血管内凝血,zh-CN
urolithiasis,泌尿系统结石,zh-CN
hemifacial spasm,面肌痉挛,zh-CN
sterilization,灭菌,zh-CN
dermabrasion,磨痂术,zh-CN
hallux valgus,外翻,zh-CN
bursitis of big toe,趾滑囊炎,zh-CN
andrology,男科学,zh-CN
irreducible hernia,难复性疝,zh-CN
encephalomyosynangiosis,脑-颞肌贴敷术,zh-CN
encephaloduroarteriosynangiosis,脑-硬脑膜血管贴敷术,zh-CN
intracerebral hemorrhage,脑出血,zh-CN
cerebral contusion,脑挫裂伤,zh-CN
cerebral amyloid angiopathy,脑淀粉样血管病,zh-CN
brain-computer interface,脑机接口,zh-CN
meningioma,脑膜瘤,zh-CN
intracerebral hematoma,脑内血肿,zh-CN
deep brain stimulation,脑深部电刺激术,zh-CN
von Hippel-Lindau disease,脑视网膜血管瘤病,zh-CN
ventriculo-peritoneal shunt,脑室-腹腔分流术,zh-CN
V-P shunt,脑室-腹腔分流术,zh-CN
cerebral concussion,脑震荡,zh-CN
endoscopic retrograde cholangiopancreatography,内镜逆行胆胰管造影,zh-CN
endoscopic mucosal resection,内镜黏膜切除术,zh-CN
endoscopic submucosal dissection,内镜下黏膜剥离术,zh-CN
endoscopic esophageal varixligation,内镜下食管静脉曲张套扎术,zh-CN
endoscopic injection sclerotherapy,内镜下硬化治疗,zh-CN
retrograde pyelography,逆行肾盂造影,zh-CN
retrograde ureteropyelography,逆行输尿管肾盂造影术,zh-CN
mucosa-associated lymphoid tissue,黏膜相关淋巴组织,zh-CN
urethral calculi,尿道结石,zh-CN
epispadias,尿道上裂,zh-CN
urethral injuries,尿道损伤,zh-CN
urethral sound,尿道探条,zh-CN
urethral stricture,尿道狭窄,zh-CN
hypospadias,尿道下裂,zh-CN
urethritis,尿道炎,zh-CN
urgency,尿急,zh-CN
urodynamics,尿流动力学,zh-CN
plain film of kidney-ureter-bladder,尿路平片,zh-CN
incontinence of urine,尿失禁,zh-CN
urinary retention,尿潴留,zh-CN
sprain,扭伤,zh-CN
leukocyte concentrate,浓缩白细胞,zh-CN
concentrated red blood cells,浓缩红细胞,zh-CN
sepsis,脓毒症,zh-CN
pyuria,脓尿,zh-CN
felon,脓性指（趾）头炎,zh-CN
empyema,脓胸,zh-CN
Parkinson disease,帕金森病,zh-CN
excretory urogram,排泄性尿路造影,zh-CN
bladder cancer,膀胱癌,zh-CN
overactive bladder,膀胱过度活动症,zh-CN
vesical calculi,膀胱结石,zh-CN
cystourethroscopy,膀胱尿道镜检查,zh-CN
bladder rupture,膀胱破裂,zh-CN
trigone of bladder,膀胱三角,zh-CN
bladder injuries,膀胱损伤,zh-CN
bladder exstrophy,膀胱外翻,zh-CN
cystography,膀胱造影,zh-CN
tumor of bladder,膀胱肿瘤,zh-CN
bladder tumor antigen,膀胱肿瘤抗原,zh-CN
pelvic abscess,盆腔脓肿,zh-CN
split-liver transplantation,劈离式肝移植,zh-CN
skin carcinoma,皮肤癌,zh-CN
skin basal cell carcinoma,皮肤基底细胞癌,zh-CN
skin papilloma,皮肤乳头状瘤,zh-CN
subcutaneous hematoma,皮下血肿,zh-CN
dermoid cyst,皮样囊肿,zh-CN
sebaceous cyst,皮脂腺囊肿,zh-CN
fatigue fracture,疲劳骨折,zh-CN
splenomegaly,脾大,zh-CN
hypersplenism,脾功能亢进,zh-CN
splenic rupture,脾破裂,zh-CN
splenectomy with paraesophagogastric devascularization,脾切除加贲门周围血管离断术,zh-CN
splenic injury,脾损伤,zh-CN
flat foot,平足症,zh-CN
tetanus,破伤风,zh-CN
umbilical hernia,脐疝,zh-CN
pacemaker,起搏点,zh-CN
endotracheal intubation,气管内插管,zh-CN
pneumaturia,气尿,zh-CN
gas gangrene,气性坏疽,zh-CN
pneumothorax,气胸,zh-CN
organ transplantation,器官移植,zh-CN
prostate cancer,前列腺癌,zh-CN
prostate pelvic syndrome,前列腺盆腔综合征,zh-CN
prostate-specific antigen,前列腺特异性抗原,zh-CN
prostate-specific membrane antigen,前列腺特异性膜抗原,zh-CN
prostatodynia,前列腺痛,zh-CN
needle biopsy of the prostate,前列腺细针穿刺活检,zh-CN
prostatitis,前列腺炎,zh-CN
expressed prostatic secretion,前列腺液,zh-CN
superficial partial thickness burn,浅Ⅱ度烧伤,zh-CN
incarcerated hernia,嵌顿疝,zh-CN
laparoscopy,腔镜,zh-CN
endoscopic enucleation of the prostate,腔内前列腺剜除术,zh-CN
ankylosing spondylitis,强直性脊柱炎,zh-CN
hydroxyethyl starch,羟乙基淀粉,zh-CN
hydrocele,鞘膜积液,zh-CN
intrathecal drug delivery systems,鞘内药物输注系统,zh-CN
escharectomy,切痂术,zh-CN
incision infection,切口感染,zh-CN
incisional hernia,切口疝,zh-CN
dumping syndrome,倾倒综合征,zh-CN
debridement,清创,zh-CN
clean wound,清洁伤口,zh-CN
balloon dilatation,球囊扩张,zh-CN
castration-resistant prostate cancer,去势抵抗性前列腺癌,zh-CN
total spinal anesthesia,全脊髓麻醉,zh-CN
complete mesocolic excision,全结肠系膜切除,zh-CN
total intravenous anesthesia,全静脉麻醉,zh-CN
maintenance of anesthesia,全身麻醉的维持,zh-CN
induction of anesthesia,全身麻醉的诱导,zh-CN
systemic inflammatory response syndrome,全身炎症反应综合征,zh-CN
aldosterone-producing adenomas,醛固酮瘤,zh-CN
injury of radial nerve,桡神经损伤,zh-CN
thermal injury,热力烧伤,zh-CN
human leucocyte antigen,人类白细胞抗原,zh-CN
gross hematuria,肉眼血尿,zh-CN
chyluria,乳糜尿,zh-CN
balloon compression of trigeminal ganglion,三叉神经节球囊压迫术,zh-CN
trigeminal neuralgia,三叉神经痛,zh-CN
three holding sutures,三定点缝线,zh-CN
hernia,疝,zh-CN
upper tract urothelial carcinoma,上尿路尿路上皮癌,zh-CN
burn injury,烧伤,zh-CN
burn area,烧伤面积,zh-CN
oligodendroglioma,少突胶质细胞瘤,zh-CN
radio-frequency ablation,射频消融,zh-CN
deep partial thickness burn,深Ⅱ度烧伤,zh-CN
deep venous thrombosis,深静脉血栓形成,zh-CN
neurotmesis,神经断裂,zh-CN
neurorrhaphy,神经缝合术,zh-CN
neurosuture,神经缝合术,zh-CN
neuropraxia,神经麻痹,zh-CN
schwannoma,神经鞘瘤,zh-CN
neurolysis,神经松解术,zh-CN
neurofibroma,神经纤维瘤,zh-CN
neurofibromatosis,神经纤维瘤病,zh-CN
neurovascular compression syndrome,神经血管压迫综合征,zh-CN
nerve transposition,神经移位术,zh-CN
nerve transfer,神经移植术,zh-CN
neurogenic bladder,神经源性膀胱,zh-CN
