source,target,tgt_lng
Wonderland Manekin,男奇偶,zh-CN
Wonderland Manekina,女奇偶,zh-CN
Wriothesley,莱欧斯利,zh-CN
Xinyan,辛焱,zh-CN
Xiangling,香菱,zh-CN
Xianyun,闲云,zh-CN
Xiao,魈,zh-CN
Xilonen,希诺宁,zh-CN
Xingqiu,行秋,zh-CN
Yae Miko,八重神子,zh-CN
Yanfei,烟绯,zh-CN
Yaoyao,瑶瑶,zh-CN
Yelan,夜兰,zh-CN
Yoimiya,宵宫,zh-CN
Yumemizuki Mizuki,梦见月瑞希,zh-CN
Yun Jin,云堇,zh-CN
Zhongli,钟离,zh-CN
Zibai,兹白,zh-CN
Alyosha,阿罗夏,zh-CN
Dainsleif,戴因斯雷布,zh-CN
Odette,奥黛塔,zh-CN
Vodyanitsa,沃雅妮莎,zh-CN
Valeriy,瓦列里,zh-CN
Pulcinella,普契涅拉,zh-CN
Pantalone,潘塔罗涅,zh-CN
Mitya,米提亚,zh-CN
Anastasya Feodorovna Snezhnaya,安娜斯塔夏·费奥多罗芙娜·雪奈茨芙娜,zh-CN
NPC,非玩家角色,zh-CN
Trivia,琐记,zh-CN
Mondstadt,蒙德,zh-CN
Liyue,璃月,zh-CN
Inazuma,稻妻,zh-CN
Sumeru,须弥,zh-CN
Fontaine,枫丹,zh-CN
Natlan,纳塔,zh-CN
Snezhnaya,至冬,zh-CN
Element,元素,zh-CN
Anemo,风,zh-CN
Pyro,火,zh-CN
Cryo,冰,zh-CN
Electro,雷,zh-CN
Dendro,草,zh-CN
Hydro,水,zh-CN
Geo,岩,zh-CN
Prologues,序章,zh-CN
Mondstadt City,蒙德城,zh-CN
Liyue Harbor,璃月港,zh-CN
Inazuma City,稻妻城,zh-CN
Sumeru City,须弥城,zh-CN
Court of Fontaine,枫丹廷,zh-CN
Stadium of the Sacred Flame,圣火竞技场,zh-CN
Barbatos,巴巴托斯,zh-CN
Morax,摩拉克斯,zh-CN
Baal,巴尔,zh-CN
Beelzebul,巴尔泽布,zh-CN
Greater Lord Rukkhadevata,大慈树王,zh-CN
Buer,布耶尔,zh-CN
Egeria,厄歌莉娅,zh-CN
Focalors,芙卡洛斯,zh-CN
Xbalanque,希巴拉克,zh-CN
Tsaritsa,女皇,zh-CN
Knights of Favonius,西风骑士团,zh-CN
Liyue Qixing,璃月七星,zh-CN
Inazuma Shogunate,稻妻幕府,zh-CN
Sumeru Academia,须弥教令院,zh-CN
Palais Mermonia,沫芒宫,zh-CN
Speaker's Chamber,议事处,zh-CN
Nod-Krai,挪德卡莱,zh-CN
Temple of Space,空之神殿,zh-CN
Khaenri'ah,坎瑞亚,zh-CN
Celestia,天空岛,zh-CN
Dark Sea,暗之外海,zh-CN
Lang-Gan,琅玕,zh-CN
Hyperborea,亥珀波瑞亚,zh-CN
Enkanomiya,渊下宫,zh-CN
Remuria,雷穆利亚,zh-CN
Brightcrown Mountains,明冠山地,zh-CN
Dragonspine,龙脊雪山,zh-CN
Galesong Hill,风啸山坡,zh-CN
Starfell Valley,坠星山谷,zh-CN
Windrest Peak,风息山,zh-CN
Windwail Highland,苍风高地,zh-CN
Brightcrown Canyon,明冠峡,zh-CN
Stormterror's Lair,风龙废墟,zh-CN
Entombed City - Ancient Palace,雪葬之都·旧宫,zh-CN
Entombed City - Outskirts,雪葬之都·近郊,zh-CN
Skyfrost Nail,寒天之钉,zh-CN
Snow-Covered Path,覆雪之路,zh-CN
Starglow Cavern,星荧洞窟,zh-CN
Wyrmrest Valley,眠龙谷,zh-CN
Cape Oath,誓言岬,zh-CN
Dadaupa Gorge,达达乌帕谷,zh-CN
Falcon Coast,鹰翔海滩,zh-CN
Musk Reef,马斯克礁,zh-CN
Windrise,风起地,zh-CN
Cider Lake,果酒湖,zh-CN
Starfell Lake,星落湖,zh-CN
Starsnatch CLiff,摘星崖,zh-CN
Stormbearer Mountains,望风山地,zh-CN
Stormbearer Point,望风角,zh-CN
Thousand Winds Temple,千风神殿,zh-CN
Whispering Woods,低语森林,zh-CN
Dornman Port,荆夫港,zh-CN
Millhaven,风车镇,zh-CN
Old Sanatorium Site,疗养院旧址,zh-CN
Dawn Winery,晨曦酒庄,zh-CN
Wolvendom,奔狼岭,zh-CN
Springvale,清泉镇,zh-CN
Sheer Cold,严寒,zh-CN
