source,target,tgt_lng
Development Materials,培养材料,zh-CN
Devotee's Flesh,苦信者的作俑,zh-CN
Dewvetch,云露,zh-CN
Diamondclaw,晶螯蝎,zh-CN
Diggy Duggy,工头布偶,zh-CN
Discord,异响空灵,zh-CN
Diurnus Knight,幻昼骑士,zh-CN
Dodge Counter,闪避反击,zh-CN
Dragon of Dirge,叹息古龙,zh-CN
Dream of the Lost,失序彼岸之梦,zh-CN
Dreamless,无妄者,zh-CN
Dreamless Feather,无妄之羽,zh-CN
Dripsnail,雨声蜗,zh-CN
Dwarf Cassowary,侏侏鸵,zh-CN
Echo,声骸,zh-CN
Echo Skill,声骸技能,zh-CN
Echoes,声骸,zh-CN
Edodes,花蕈,zh-CN
Electro,导电,zh-CN
Electro Drake,小翼龙·导电,zh-CN
Electro Predator,惊蛰猎手,zh-CN
Elegy Tacet Core,哀歌声核,zh-CN
Emerald of Genesis,千古洑流,zh-CN
Emerald Sentence,裁竹,zh-CN
Empyrean Anthem,高天共奏之曲,zh-CN
Encore,安可,zh-CN
Encore's Waveband,安可的回音频段,zh-CN
Endless Collapse,永续坍缩,zh-CN
Energy Regen,共鸣效率,zh-CN
Erodorchid,蚀夜幽兰,zh-CN
Eternal Radiance,此间永驻之光,zh-CN
Everbright Polestar,永远的启明星,zh-CN
Excarat,遁地鼠,zh-CN
Extracted Phlogiston,粗萃晶化燃素,zh-CN
Fables of Wisdom,风流的寓言诗,zh-CN
Fae Ignis,幽翎火,zh-CN
Fallacy of No Return,无归的谬误,zh-CN
Feather,羽毛,zh-CN
Feather Edge,翼锋,zh-CN
Feilian Beringal,飞廉之猩,zh-CN
FF Howler Core,全频啸叫声核,zh-CN
FF Whisperin Core,全频呓语声核,zh-CN
Firstlight's Herald,栖霞饮露,zh-CN
Fish,鱼肉,zh-CN
Fission Junrock,裂变幼岩,zh-CN
Flamewing's Shadow,焚羽猎魔之影,zh-CN
Flaming Clawprint,奔狼燎原之焰,zh-CN
Flautist,奏谕乐师,zh-CN
Flawless Phlogiston,高纯晶化燃素,zh-CN
Flora Drone,莳植熊蜂,zh-CN
Flora Reindeer,莳植机麋,zh-CN
Floramber,植珀,zh-CN
Fog Lionarch,霁息兽尊,zh-CN
Fog Lionarch: Body,霁息兽尊·身,zh-CN
Fog Lionarch: Head,霁息兽尊·首,zh-CN
Forbidden Bastion,封庭械囿,zh-CN
Forged Dwarf Star,赝作的矮星,zh-CN
Forte Circuit,共鸣回路,zh-CN
Fowl Meat,禽肉,zh-CN
Freeze Frame,存帧,zh-CN
Freezing Frost,凝夜白霜,zh-CN
Frostbite Coleoid,霜鳞蜃甲,zh-CN
Frostburn,灼霜,zh-CN
Frostscourge Stalker,霜鬃狼,zh-CN
Frosty Resolve,凌冽决断之心,zh-CN
Fusion,热熔,zh-CN
Fusion Accretion,核熔星盘,zh-CN
Fusion Drake,小翼龙·热熔,zh-CN
Fusion Dreadmane,火鬃狼,zh-CN
Fusion Prism,热熔棱镜,zh-CN
Fusion Warrior,鸣泣战士,zh-CN
Galbrena,嘉贝莉娜,zh-CN
Galescourge Stalker,风鬃狼,zh-CN
Gauntlets,臂铠,zh-CN
Gauntlets of Night,暗夜臂铠·夜芒,zh-CN
Gauntlets of Voyager,远行者臂铠·破障,zh-CN
Gauntlets#21D,钢影拳-21丁型,zh-CN
Gemberry,龙衔珠,zh-CN
Geospider S4,岩蛛S4型,zh-CN
Glacio,冷凝,zh-CN
Glacio Drake,小翼龙·冷凝,zh-CN
Glacio Dreadmane,雪鬃狼,zh-CN
Glacio Predator,破霜猎手,zh-CN
Glacio Prism,冷凝棱镜,zh-CN
Glint of Clouds,云琅,zh-CN
Glommoth,格洛犸图,zh-CN
Gloom Slough,隐火蜕,zh-CN
Gold-Dissolving Feather,销金之翎,zh-CN
Golden Junrock,愚金幼岩,zh-CN
Golden-ringed Dragonfly,金环蜓,zh-CN
Goldenback Frog,金背蛙,zh-CN
Green Pit Lizard,青竹蜥,zh-CN
Group Abomination Tacet Core,群孽异核,zh-CN
Guardian Broadblade,戍关长刃·定军,zh-CN
Guardian Gauntlets,戍关臂铠·拔山,zh-CN
Guardian Pistols,戍关佩枪·平云,zh-CN
Guardian Rectifier,戍关音感仪·留光,zh-CN
Guardian Sword,戍关迅刀·镇海,zh-CN
Gulpuff,咕咕河豚,zh-CN
Gusts of Welkin,流云逝尽之空,zh-CN
Halo of Starry Radiance,星构寻辉之环,zh-CN
Havoc,湮灭,zh-CN
Havoc Drake,小翼龙·湮灭,zh-CN
Havoc Dreadmane,暗鬃狼,zh-CN
Havoc Eclipse,沉日劫明,zh-CN
Havoc Prism,湮灭棱镜,zh-CN
Havoc Warrior,审判战士,zh-CN
Healing Bonus,治疗效果加成,zh-CN
Heart of Evil's Purge,清邪荡煞之心,zh-CN
Heat Absorption Device,吸热装置,zh-CN
Heavy Attack,重击,zh-CN
Hecate,赫卡忒,zh-CN
Helios Cleaver,东落,zh-CN
Heterized Metallic Drip,异构金属液滴,zh-CN
HF Howler Core,高频啸叫声核,zh-CN
HF Whisperin Core,高频呓语声核,zh-CN
Hiyuki,绯雪,zh-CN
Hoartoise,寒霜陆龟,zh-CN
Hocus Pocus,魔术先生,zh-CN
Hollow Mirage,骇行,zh-CN
Honeysuckle,鸳鸯花,zh-CN
Hoochief,戏猿,zh-CN
Hooscamp,幼猿,zh-CN
HP,生命,zh-CN
Hurriclaw,飓力熊,zh-CN
Hyvatia,海维夏,zh-CN
Iceglint Dancer,冰盈舞者,zh-CN
Impermanence Heron,无常凶鹭,zh-CN
Improved Ring,改造镣环,zh-CN
Impure Phlogiston,含杂晶化燃素,zh-CN
Indigoite,紫晶簇,zh-CN
Inert Metallic Drip,惰性金属液滴,zh-CN
Inferno Rider,燎照之骑,zh-CN
Inherent Skill,固有技能,zh-CN
Intro Skill,变奏技能,zh-CN
Iris,鸢尾花,zh-CN
Ironhoof,重工铁蹄,zh-CN
Iuno,尤诺,zh-CN
Jianxin,鉴心,zh-CN
Jingran,景燃,zh-CN
Jinhsi,今汐,zh-CN
Jinzhou Keeper,今州守望,zh-CN
Jiyan,忌炎,zh-CN
Jué,角,zh-CN
Kerasaur,角鳄,zh-CN
Kernel Puppet: Anger,心傀·怒,zh-CN
Kernel Puppet: Fright,心傀·恐,zh-CN
Kernel Puppet: Grief,心傀·悲,zh-CN
Kernel Puppet: Joy,心傀·喜,zh-CN
Kernel Puppet: Reflection,心傀·思,zh-CN
Kernel Puppet: Worry,心傀·忧,zh-CN
Kronablight,冠顶械隼,zh-CN
Kumokiri,昙切,zh-CN
La Guardia,卫冕节使,zh-CN
Lady of the Sea,海之女,zh-CN
Lamp of Nether Road,冥途夜行之灯,zh-CN
Lampylumen,辉萤石,zh-CN
Lampylumen Myriad,辉萤军势,zh-CN
Lanternberry,灯笼果,zh-CN
Laser Shearer,镭射切变,zh-CN
Lava Larva,融火虫,zh-CN
Law of Harmony,息界同调之律,zh-CN
Legend of Drunken Hero,酩酊的英雄志,zh-CN
Lemongrass,香柠草,zh-CN
Lento Helix,慢板涡流,zh-CN
Lethean Elegy,幽冥的忘忧章,zh-CN
LF Howler Core,低频啸叫声核,zh-CN
LF Whisperin Core,低频呓语声核,zh-CN
Lightcrusher,踏光兽,zh-CN
Lingering Tunes,不绝余音,zh-CN
Lingyang,凌阳,zh-CN
Lioness of Glory,荣耀狮像,zh-CN
Lorelei,罗蕾莱,zh-CN
Lottie Lost,寂寞小姐,zh-CN
Lotus Seeds,莲实,zh-CN
Lucilla,洛瑟菈,zh-CN
Lucy,露西,zh-CN
Lumi,灯灯,zh-CN
Lumingloss,飞景,zh-CN
Luminous Hymn,和光回唱,zh-CN
Lumiscale Construct,游鳞机枢,zh-CN
Lunar Cutter,西升,zh-CN
Lunite,月相,zh-CN
Lunite Subscription,月相观测卡,zh-CN
Lupa,露帕,zh-CN
Lustrous Razor,浩境粼光,zh-CN
Lustrous Tide,唤声涡纹,zh-CN
Luuk Herssen,陆·赫斯,zh-CN
Lux & Umbra,光影双生,zh-CN
Lynae,琳奈,zh-CN
Marcato,呼啸重音,zh-CN
Mask of Constraint,压抑面罩,zh-CN
Mask of Distortion,扭曲面罩,zh-CN
Mask of Erosion,侵蚀面罩,zh-CN
Mask of Insanity,癫狂面罩,zh-CN
Mech Abomination,聚械机偶,zh-CN
Meditations on Mercy,容赦的沉思录,zh-CN
Medium Energy Core,中级能源核心,zh-CN
Medium Resonance Potion,中级共鸣促剂,zh-CN
Medium Sealed Tube,中级密音筒,zh-CN
MF Howler Core,中频啸叫声核,zh-CN
MF Whisperin Core,中频呓语声核,zh-CN
Mid-Air Attack,空中攻击,zh-CN
Midnight Veil,幽夜隐匿之帷,zh-CN
Mining Drone,矿岩熊蜂,zh-CN
Mining Reindeer,矿岩机麋,zh-CN
Missions,任务,zh-CN
Molten Rift,熔山裂谷,zh-CN
Monument Bell,碑趺古钟,zh-CN
Moongazer's Sigil,万物持存的注释,zh-CN
Moonlit Clouds,轻云出月,zh-CN
Mornye,莫宁,zh-CN
Mortefi,莫特斐,zh-CN
Mourning Aix,哀声鸷,zh-CN
Myriad Snare: Rustfire Chassis,万囮牢·朽躯,zh-CN
Mysterious Code,神秘密码,zh-CN
Nameless Explorer,无铭探索者,zh-CN
Nightmare: Aero Predator,梦魇·巡徊猎手,zh-CN
Nightmare: Baby Roseshroom,梦魇·刺玫菇（稚形）,zh-CN
Nightmare: Baby Viridblaze Saurian,梦魇·绿熔蜥（稚形）,zh-CN
Nightmare: Chirpuff,梦魇·啾啾河豚,zh-CN
Nightmare: Crownless,梦魇·无冠者,zh-CN
Nightmare: Cyan-Feathered Heron,梦魇·青羽鹭,zh-CN
Nightmare: Dwarf Cassowary,梦魇·侏侏鸵,zh-CN
Nightmare: Electro Predator,梦魇·惊蛰猎手,zh-CN
Nightmare: Feilian Beringal,梦魇·飞廉之猩,zh-CN
Nightmare: Glacio Predator,梦魇·破霜猎手,zh-CN
Nightmare: Gulpuff,梦魇·咕咕河豚,zh-CN
Nightmare: Havoc Warrior,梦魇·审判战士,zh-CN
Nightmare: Hecate,梦魇·赫卡忒,zh-CN
Nightmare: Impermanence Heron,梦魇·无常凶鹭,zh-CN
Nightmare: Inferno Rider,梦魇·燎照之骑,zh-CN
Nightmare: Kelpie,梦魇·凯尔匹,zh-CN
Nightmare: Lampylumen Myriad,梦魇·辉萤军势,zh-CN
Nightmare: Mourning Aix,梦魇·哀声鸷,zh-CN
Nightmare: Roseshroom,梦魇·刺玫菇,zh-CN
Nightmare: Tambourinist,梦魇·振铎乐师,zh-CN
Nightmare: Tempest Mephis,梦魇·朔雷之鳞,zh-CN
Nightmare: Thundering Mephis,梦魇·云闪之鳞,zh-CN
Nightmare: Tick Tack,梦魇·呜咔咔,zh-CN
Nightmare: Violet-Feathered Heron,梦魇·紫羽鹭,zh-CN
Nightmare: Viridblaze Saurian,梦魇·绿熔蜥,zh-CN
Nimbus Wraith,云海妖精,zh-CN
Noctemint,夜息香,zh-CN
Nocturnus Knight,暗夜骑士,zh-CN
Novaburst,飞逝,zh-CN
Ocean's Gift,大海的馈赠,zh-CN
Originite: Type I,源能长刃·测壹,zh-CN
Originite: Type II,源能迅刀·测贰,zh-CN
Originite: Type III,源能佩枪·测叁,zh-CN
Originite: Type IV,源能臂铠·测肆,zh-CN
Originite: Type V,源能音感仪·测五,zh-CN
Oscillated Coral,残振珊瑚,zh-CN
Outro Skill,延奏技能,zh-CN
Overture,行进序曲,zh-CN
Pact of Neonlight Leap,逆光跃彩之约,zh-CN
Pavo Plum,雀翎果,zh-CN
Pearl Leaf,珍珠草,zh-CN
Pecok Flower,金阳凤,zh-CN
Perilla,香苏,zh-CN
Phasic Homogenizer,相位涟漪,zh-CN
Phoebe,菲比,zh-CN
Phoenix Butterfly,霄凤蝶,zh-CN
Phrolova,弗洛洛,zh-CN
Pilgrim's Shell,传道者的遗形,zh-CN
Pistols,迅刀,zh-CN
Pistols of Night,暗夜佩枪·暗星,zh-CN
Pistols of Voyager,远行者佩枪·洞察,zh-CN
Pistols#26,穿击枪-26型,zh-CN
Polarized Metallic Drip,极化金属液滴,zh-CN
Porcelain Picket,瓷庭候,zh-CN
Premium Energy Core,特级能源核心,zh-CN
Premium Resonance Potion,特级共鸣促剂,zh-CN
Premium Sealed Tube,特级密音筒,zh-CN
Presto Helix,急板涡流,zh-CN
Pulsation Bracer,脉冲协臂,zh-CN
Qingxiao,清宵,zh-CN
Qiuyuan,仇远,zh-CN
Questless Knight,巡游骑士,zh-CN
Radiance Cleaver,源能机锋,zh-CN
Radiant Dawn,曜光,zh-CN
Radiant Tide,浮金波纹,zh-CN
Rage Against the Statue,重塑雕像的拳砾,zh-CN
Rage Tacet Core,怒号声核,zh-CN
Raw Meat,兽肉,zh-CN
Reactive Metallic Drip,活性金属液滴,zh-CN
Reactor Husk,炉芯机骸,zh-CN
Rebecca,丽贝卡,zh-CN
Rectifier,音感仪,zh-CN
Rectifier of Night,暗夜矩阵·暝光,zh-CN
Rectifier of Voyager,远行者矩阵·探幽,zh-CN
Rectifier#25,鸣动仪-25型,zh-CN
Red Feather Butterfly,赤羽蝶,zh-CN
Red Spring,裁春,zh-CN
Reel of Spliced Memories,剪心辑梦之影,zh-CN
Refined Phlogiston,精馏晶化燃素,zh-CN
Rejuvenating Glow,隐世回光,zh-CN
Relativistic Jet,悖论喷流,zh-CN
Reminiscence - Nightmare: Adam Smasher,共鸣回响·梦魇亚当·重锤,zh-CN
Reminiscence: Denia,共鸣回响·达妮娅,zh-CN
Reminiscence: Fenrico,共鸣回响·芬莱克,zh-CN
Reminiscence: Fleurdelys,共鸣回响·芙露德莉斯,zh-CN
Reminiscence: Kronaclaw,共鸣回响·冠顶苍隼,zh-CN
Reminiscence: Threnodian - Leviathan,共鸣回响·鸣式·利维亚坦,zh-CN
Reminiscence: Threnodian - Voidborne Construct,共鸣回响·鸣式·虚造神型,zh-CN
Resonance,共鸣,zh-CN
Resonance Chain,共鸣链,zh-CN
Resonance Energy,共鸣能量,zh-CN
Resonance Liberation,共鸣解放,zh-CN
Resonance Skill,共鸣技能,zh-CN
Resonator,共鸣者,zh-CN
Resonator Experience,共鸣者经验,zh-CN
Resources,资源,zh-CN
Rime-Draped Sprouts,琼枝冰绡,zh-CN
Rite of Gilded Revelation,流金溯真之式,zh-CN
Roaring Rock Fist,呼啸岩拳,zh-CN
Roccia,洛可可,zh-CN
Rocksteady Guardian,磐石守卫,zh-CN
Romance in Farewell,叙别的罗曼史,zh-CN
Roseshroom,刺玫菇,zh-CN
Rover (Aero),漂泊者·气动,zh-CN
Rover (Electro),漂泊者·导电,zh-CN
Rover (Havoc),漂泊者·湮灭,zh-CN
Rover (Spectro),漂泊者·衍射,zh-CN
Sabercat Prowler,隐迹铁影,zh-CN
Sabercat Reaver,锯袭铁影,zh-CN
Sabyr Boar,碎獠猪,zh-CN
Sacerdos,慈悲节使,zh-CN
Sagittario,赦罪节使,zh-CN
Sanhua,散华,zh-CN
Sanhua's Waveband,散华的回音频段,zh-CN
Scarletthorn,红针晶簇,zh-CN
Sentry Construct,异构武装,zh-CN
Shadow of Shattered Dreams,碎梦亡鬼之魇,zh-CN
Shadow Stepper,影烁者,zh-CN
Shell Credit,贝币,zh-CN
Shorekeeper,守岸人,zh-CN
Sierra Gale,啸谷长风,zh-CN
Sigillum,辛吉勒姆,zh-CN
Sigrika,西格莉卡,zh-CN
Silver-Banded Lizard,银环蜥,zh-CN
Single Revival Agent,单体复苏剂,zh-CN
Skull Thrasher,碎骨,zh-CN
Smiter,融躯战士,zh-CN
Smolder,不熄猎手,zh-CN
Snip Snap,咔嚓嚓,zh-CN
Solar Flame,阳焰,zh-CN
Solsworn Ciphers,昭日译注,zh-CN
Somnoire Anchor,心之锚,zh-CN
Sonance Casket,声匣,zh-CN
Sonata Effect,合鸣效果,zh-CN
Song of Feathered Trace,羽落空尘之歌,zh-CN
Sound of True Name,听唤语义之愿,zh-CN
Sound-Keeping Tacet Core,留音声核,zh-CN
Soundproof Device,隔音装置,zh-CN
Spacetrek Explorer,探隧重机,zh-CN
Spearback,箭簇熊,zh-CN
Spectral Trigger,蜃影,zh-CN
Spectro,衍射,zh-CN
Spectro Drake,小翼龙·衍射,zh-CN
Spectro Prism,衍射棱镜,zh-CN
Spectrum Blaster,溢彩荧辉,zh-CN
Starfield Calibrator,宙算仪轨,zh-CN
Static Mist,停驻之烟,zh-CN
Stellar Symphony,星序协响,zh-CN
Stonard,金掌,zh-CN
Stone Picket,石庭候,zh-CN
Stonewall Bracer,坚岩斗士,zh-CN
Strife Tacet Core,纷争声核,zh-CN
Stringmaster,掣傀之手,zh-CN
Suisui,穗穗,zh-CN
Supplies,用品,zh-CN
Sword,长剑,zh-CN
Sword of Night,暗夜迅刀·黑闪,zh-CN
Sword of Voyager,远行者迅刀·旅迹,zh-CN
Sword#18,瞬斩刀-18型,zh-CN
Tacet Discord,残象,zh-CN
Tacet Field,无音区,zh-CN
Tailored Ring,特制镣环,zh-CN
Tambourinist,振铎乐师,zh-CN
Taoqi,桃祈,zh-CN
Taoqi's Waveband,桃祈的回音频段,zh-CN
Tempest Mephis,朔雷之鳞,zh-CN
Terraspawn Fungus,地涌莲,zh-CN
The False Sovereign,伪作的神王,zh-CN
The Last Dance,死与舞,zh-CN
Thousand-Puppet Pavilion,千傀重楼,zh-CN
Thousandfold Deliverance,千般渡,zh-CN
Thread of Severed Fate,命理崩毁之弦,zh-CN
Thunderbolt,奔雷,zh-CN
Thunderflare Dominion,驭冕铸雷之权,zh-CN
Thundering Mephis,云闪之鳞,zh-CN
Thundering Tacet Core,霍闪声核,zh-CN
Tick Tack,呜咔咔,zh-CN
Tidebreaking Courage,无惧浪涛之勇,zh-CN
Traffic Illuminator,通行灯偶,zh-CN
Tragicomedy,悲喜剧,zh-CN
Trailblazing Star,长路启航之星,zh-CN
Training Broadblade,教学长刃,zh-CN
Training Gauntlets,教学臂铠,zh-CN
Training Pistols,教学佩枪,zh-CN
Training Rectifier,教学音感仪,zh-CN
Training Sword,教学迅刀,zh-CN
Tremor Warrior,颤栗战士,zh-CN
Twin Nova: Collapsar Blade,双极·渊陨重锋,zh-CN
Twin Nova: Nebulous Cannon,双极·星升辉铳,zh-CN
Tyro Broadblade,原初长刃·朴石,zh-CN
Tyro Gauntlets,原初臂铠·磐岩,zh-CN
Tyro Pistols,原初佩枪·穿林,zh-CN
Tyro Rectifier,原初音感仪·听浪,zh-CN
Tyro Sword,原初迅刀·鸣雨,zh-CN
Umbragricus,伞下客,zh-CN
Undying Flame,无眠烈火,zh-CN
Unending Destruction,不息坏灭,zh-CN
Unflickering Valor,不灭航路,zh-CN
Union EXP,联觉经验,zh-CN
Valuables,贵重品,zh-CN
Vanguard Junrock,先锋幼岩,zh-CN
Variation,奇幻变奏,zh-CN
Verdant Summit,苍鳞千嶂,zh-CN
Verina,维里奈,zh-CN
Verina's Waveband,维里奈的回音频段,zh-CN
Verity's Handle,诸方玄枢,zh-CN
Viola,地丁堇,zh-CN
Violet Coral,紫珊瑚,zh-CN
Violet-Feathered Heron,紫羽鹭,zh-CN
Viridblaze Saurian,绿熔蜥,zh-CN
Vitality Drink,活力饮料,zh-CN
Vitreum Dancer,琉璃刀伶,zh-CN
Void Thunder,彻空冥雷,zh-CN
Voidwing Moth,迷胧幻蛾,zh-CN
Voltscourge Stalker,雷鬃狼,zh-CN
Waltz in Masquerade,虚饰的华尔兹,zh-CN
Waning Redshift,凋亡频移,zh-CN
Waterlamp,水灯花,zh-CN
Wave-Cutting Tooth,辟海牙戟,zh-CN
Waveplate,结晶波片,zh-CN
Waveworn Residue 210,海蚀嵌合体210,zh-CN
Waveworn Residue 226,海蚀嵌合体226,zh-CN
Waveworn Residue 235,海蚀嵌合体235,zh-CN
Waveworn Residue 239,海蚀嵌合体239,zh-CN
Whiff Whaff,呼咻咻,zh-CN
Whispers of Sirens,海的呢喃,zh-CN
Wildfire Mark,焰痕,zh-CN
Windlash Coleoid,风鳞蜃甲,zh-CN
Windward Pilgrimage,愿戴荣光之旅,zh-CN
Wintry Bell,傲寒钟,zh-CN
Wishes of Quiet Snowfall,雪落无声之愿,zh-CN
Wood-textured Shard,木纹残片,zh-CN
Woodland Aria,林间的咏叹调,zh-CN
Wuthering Waves,鸣潮,zh-CN
Xiangli Yao,相里要,zh-CN
Yangyang,秧秧,zh-CN
Yangyang: Xuanling,秧秧·玄翎,zh-CN
Yangyang's Waveband,秧秧的回音频段,zh-CN
Yinlin,吟霖,zh-CN
Youhu,釉瑚,zh-CN
Yuanwu,渊武,zh-CN
Zani,赞妮,zh-CN
Zhezhi,折枝,zh-CN
Zig Zag,阿嗞嗞,zh-CN
Zip Zap,噼啪啪,zh-CN
